website,country,company,description,location
http://clickbakers.com,Slovak Republic,clickBakers,"clickBakers Will Change the Way You Manage Online TrafficNeed an easy-to-use tool to manage targeting of your web & mobile traffic? Look no further. clickBakers has you covered. A simpler & smarter solution designed to easily segment, target and optimize all types of traffic in a single platform and help you maximize your online profits.Our easy-to-use, integration-free, web-based platform is designed for everyone in the digital marketing industry involved with online traffic management - website owners, affiliates and affiliate networks, advertisers and publishers, online marketers and media buyers, ad networks and agencies.Combined with advanced analytics, clickBakers is an easy tool for executing the most efficient targeting and improving traffic monetization.Featuring: * Advanced targeting tools for all types of online traffic including mobile, tablet, IPTV and desktop * Precise mobile carrier targeting with accurate and exclusive database of IP ranges from mobile operators worldwide * Effortless optimization with simple to set up A/B testing, real time redirects and flexible campaign rules * Progressive tools to improve traffic performance with analytics, segmentation, targeting and optimization all in one place.With years of experience in traffic monetization, the clickBakers team unveils a simple solution to maximize web traffic performance. We believe the key is advanced traffic filtering combined with efficient targeting & easy optimization and that's exactly what clickBakers delivers.For more information or to sign up for a free account please visit: www.clickBakers.com Copyright 2014, a2z, Inc. All rights reserved.",NA
http://www.clicksmob.com,United States,ClicksMob,"ClicksMob is a performance platform for better mobile advertising.
Solely focused on providing a marketplace for advertisers and publishers to buy and deliver mobile traffic.Our focus enables excellence: iOS, Android, Windows phone, or mobile web as long as it’s mobile and performance- we’ll deliver advertising or monetization that’s ROI+High Quality. High Volume. Only Mobile. Only Performance.  Copyright 2014, a2z, Inc. All rights reserved.","San Francisco, CA"
http://www.clickticker.com,United States,Clickticker,"Copyright 2014, a2z, Inc. All rights reserved.","Sunny Isles, FL"
http://www.cluep.com,Canada,Cluep,"Cluep is a mobile ad platform that targets people based on what they are saying, how they are feeling and where they are going. Powered by a patent-pending text-analysis and location intelligence engine, Cluep enables marketers to target people based on two fundamental approaches.SocialTarget people based on their social media conversations and serve them ads in their mobile apps and mobile browser.Our text analysis engine segments people based on 8 different feelings towards an identified topic or brand on Twitter, Facebook and Instagram. Along with the ability to target by demographics, location and local weather, Cluep is being used to engage key audiences based directly on their expressed intent, needs and interests.PlacesTarget people based on the places they go in the physical world and serve them an ad on their mobile, tablet and laptop. Our location intelligence engine identifies the frequency and recency of the places people visit in the physical world in order to determine their interests and intent. Along with the ability to serve across devices, track post-ad behaviour and in-store conversion, Cluep is bridging the relationship between people and places.    Brands: Coca-Cola, Wendy's, Kraft, Nutella, Red Bull, Under Armour,  Johnson & Johnson, Toyota, Cadillac, General Motors, 20th Century Fox, Victoria's Secret and many others.Copyright 2014, a2z, Inc. All rights reserved.","Toronto, ON"
http://c-m.co.jp/,Japan,CREATORS MATCH Ltd. ADTest:Data driven Creative Optimization,"Copyright 2014, a2z, Inc. All rights reserved.",NA
http://www.CurateMobile.com,Canada,Curate Mobile Ltd.,"Copyright 2014, a2z, Inc. All rights reserved.","Toronto, ON"
http://www.cybage.com/pages/index.aspx,India,Cybage Software,"Cybage is a leading technology consulting organization with focus on the Media and Advertising space. Cybage has invested in building competency in relevant technologies around Cloud, Big Data, Mobility, Social Media, Content Management and E-commerce, to help our customers stay ahead of the curve.
 
We collaborate with leaders in the Ad Tech industry, bringing technology and industry knowledge to the table. Our customers include various entities in the Advertising ecosystem, which include:
 
- Ad Exchanges / Networks
- Data Management Platforms (DMPs)
- Media buying houses
- Video Platforms, IPTV providers
- Ad Agencies
- PublishersTo talk with our local representative call +1 848-219-1221.Copyright 2014, a2z, Inc. All rights reserved.","Pune, -Select-"
https://cyber-z.co.jp/en,United States,CyberZ," CyberZ is a leading mobile marketing agency located in Tokyo, San Francisco, Taiwan and Korea. Our mobile marketing measurement tool F. O. X. is the No.1 smartphone marketing solution in Japan and is expanding globally. Approximetely 50% of the top 100 titles on Japan's AppStore and GooglePlay are using F.O.X as their tracking tool. We conduct media buying and user acquitition for app developers inculding gaming and non-gaming apps, and work with hundreds of media partners that span 250 different countries. 

 As an advertising and marketing powerhouse in Japan with a strong global presence, we can provide your company with greater access to app developers around the world.Brands: CyberZ is a leading mobile marketing agency located in Tokyo, San Francisco, Taiwan and Korea. Our mobile marketing measurement tool F. O. X. is the No.1 smartphone marketing solution in Japan.Copyright 2014, a2z, Inc. All rights reserved.","San Francisco, CA"
http://www.dashbid.com,United States,DashBid,"DashBid helps content companies and publishers maximize their video ad revenue with a hosted service designed and built specifically for video advertising.Powered by a rich data analytics engine, DashBid provides publishers and content owners with a real-time, auction-based media selling platform and yield optimization around their syndicated web and mobile content.Copyright 2014, a2z, Inc. All rights reserved.","New York, NY"
http://www.datahero.com,United States,DataHero,"DataHero is the cloud analytics tool you need to make sense of your data and understand how it impacts your business or agency. By connecting to the services you use everyday, DataHero takes the intimidation and clutter out of analytics by simplifying and organizing the data you need to power forward in one easy tool.  Empower yourself in the cloud to import data and export answers now. Show true value for your clients.  Visit www.datahero.com, create a free account, and start charting any data, anywhere.  Copyright 2014, a2z, Inc. All rights reserved.","San Francisco, CA"
http://www.designeraccess.com,United States,DesignerAccess,"Lets face it, customers are orbiting at high speeds these days. You need great design and illustration to stop them in their tracks. And great copy to turn browsers into believers, and believers into buyers.  That’s where DesignerAccess comes in, a newly born sister property to WriterAccess—the leading online marketplace for writing services in the cloud. At DesignerAccess, you can post a project for anything you need: website design, logos, banner ads, infographics, book covers, fashion design—anything! Creative talent apply for the project, and you pick the winner. Designers. Illustrators. Writers. Customers. Everybody wins!Brands: DesignerAccess is an online marketplace that connects customers directly with freelance designers and illustrators. Post a project for anything you need. Creative talent apply. You pick the winner.Copyright 2014, a2z, Inc. All rights reserved.","Boston, MA"
http://www.digitalelement.com,United States,Digital Element,"Digital Element is the world’s leading geolocation solutions provider. Our globally recognized location-based solutions are deployed by the world’s largest ad networks, brands, social media platforms, publishers, retailers, and more. Whether the aim is to better engage a first-time site visitor, drive revenue for online marketing campaigns or ensure content is in the right hands, Digital Element provides the tools to create closer relationships across screens with today’s on-the-go users. Our customers list includes globally recognized brands such as AppNexus, Twitter, Facebook, Yahoo, Turn, MediaMath, Rubicon Project, Millennial Media, Conversant, Double Verify, Disney Interactive, Pinterest, Rocket Fuel and hundreds of others.Brands: NetAcuity 
NetAcuity Edge
NetAcuity PulseCopyright 2014, a2z, Inc. All rights reserved.","Norcross, GA"
http://dishmediasales.com,United States,Dish Media Sales,"Copyright 2014, a2z, Inc. All rights reserved.","New York, NY"
http://www.doblet.com,United States,Doblet,"Copyright 2014, a2z, Inc. All rights reserved.","San Francisco, CA"
http://dollarbirdinc.com,India,DollarBird Inc.,"Delivering it's goals in its name and tagline, DOLLARBIRD have taken birth to fetch high revenue to our clients by simplifying their digital media operations. We offer a wide range of services for online media companies and individuals. We want to be known as the leading center of excellence in the field of digital advertising & services and thus keeping up client's trust and faith providing efficient, determined and accurate services.We have been terrific with our performance in delivering best in class services at great efficiencies and at most competitive prices in the market.Our work meets the brief, takes the weight off client's shoulders and leaves them delighted with the results. Therefore we become go-to solution for all the clients who look for digital media services.Brands: Consulting, Ad Operations, Reporting, Mobile Advertising,Email Operations, Creative development, and SEO/SEM services.Copyright 2014, a2z, Inc. All rights reserved.","Mysore, Karnataka"
http://www.domo.com,United States,Domo,"Domo is a cloud-based business management platform that is transforming the way business is managed. The company was started in 2010 by Josh James, co-founder and longtime CEO of web-analytics powerhouse Omniture.Domo gives users direct, real-time access to all the information they need to make fast, better decisions and improve business performance.  It solves universal pain points felt by CEOs, managers and IT organizations for whom traditional business intelligence reporting is often too cumbersome, too complex and too slow. With $250 million in funding, Domo has assembled a highly proven management team and is backed by an all-star list of angels and investors plus the who’s who of SaaS and Internet technology. The company has signed more than 1,000 paying enterprise customers and is experiencing year-over-year growth that exceeds more than 100 percent. Copyright 2014, a2z, Inc. All rights reserved.","American Folk, UT"
http://www.dudamobile.com,United States,Duda,"Our mission is to make the mobile web friendly for all.Duda is a leading DIY website builder for web professionals and small businesses via its products; DudaMobile, a mobile-only site builder; DudaOne, a responsive website builder and DudaPro, which enables entrepreneurs, designers and agencies to create personalized and dynamic web presence solutions without hours of costly development time. Duda is widely used amongst agencies, designers and marketers as well as enterprise partners.http://www.dudamobile.comBrands: DudaMobile, DudaOne, DudaProCopyright 2014, a2z, Inc. All rights reserved.","Palo Alto, CA"
http://www.dyn.com,United States,Dyn,"Dyn solutions are at the core of Internet Performance. Through traffic management, message management and performance assurance, Dyn is connecting people through the Internet and ensuring information gets where it needs to go, faster and more reliably than ever before. Incorporated in 2001, Dyn's global presence services more than four million enterprise, small business and personal customers. Visit dyn.com to learn more about how Dyn delivers.Copyright 2014, a2z, Inc. All rights reserved.","Manchester, NH"
http://ebaycommercenetwork.com,United States,eBay Commerce Network,"About eBay Commerce NetworkPart of eBay Inc. (NASDAQ:EBAY) the eBay Commerce Network (eCN) is a leading commerce advertising platform and technology offering merchants direct response and targeted advertising solutions across a network of leading publishers. Through the Publisher Program, publishers gain access to over 200 million individual product listing feeds coming from 4,000+ premier merchants (many of the top IR 100 included) as well as exclusive access to eBay inventory.Our Commerce Ad Platform is made up of 2,000+ premier publishers and networks ranging from shopping portals, mobile applications and search engines to content sites and marketplaces. This robust network allows us to target consumers at any stage of their shopping experience, from awareness to purchase and fulfill all enabling the eCN mission of connecting consumers to the world's advertisers. Headquartered in Brisbane, CA we operate in 5 markets globally, including the US, UK, Germany, France, and Australia.Copyright 2014, a2z, Inc. All rights reserved.","Brisbane, CA"
http://www.egnyte.com,United States,Egnyte,"Copyright 2014, a2z, Inc. All rights reserved.","Mountain View, CA"
http://e-hawk.net,United States,E-HAWK,"Block fraudulent sign-ups, account takeovers, and fake leads using E-HAWK API. Our cloud service identifies phishers, bots, spammers, fraudsters, and high-risk users before they do damage. Improve leads, fight account takeovers, and automate onboarding. Visit e-hawk.net for more infoCopyright 2014, a2z, Inc. All rights reserved.","Saratoga Springs, NY"
http://www.pacificnaturals.com,United States,EngageBDR,"Promote the leading health and beauty offers online.Market Health Affiliate Program allows you to market and promote the world's leading health and beauty offers online. We offer the highest paying affiliate program and best tracking software in our industry.http://www.markethealth.comPacific Naturals is the international leader in contract manufacturing and fulfillment of health and beauty products. Contract manufacturing is the cornerstone of our business, and we have instilled industry best practices to ensure our products are efficient, reliable and represent your brand.http://www.pacificnaturals.com & http://www.pacificnaturals.co.ukCopyright 2014, a2z, Inc. All rights reserved.","Burbank, CA"
http://www.ensighten.com,United States,Ensighten,"Copyright 2014, a2z, Inc. All rights reserved.","San Jose, CA"
http://epom.com,Ukraine,Epom Ad Server,"

Epom Ltd. products facilitate the creation and management of multi-channel ad campaigns. The company provides its services via Epom Ad Server and the Epom Market advertising network.Epom Ad Server is a comprehensive SaaS platform that caters to the needs of ad networks. With a strong emphasis on stability, scalability, and flexibility, it offers a wide range of complex ad serving functionality for display, mobile, and video ad campaigns. The platform offers easy-to-use tools for performance optimization, supports real-time bidding, provides granular real-time analytics, and gives clients the opportunity to request the development of custom ad serving features.Epom Market expands advertisers’ audience reach and maximizes monetization opportunities for publishers. This global ad network connects brands to high-quality inventory across all verticals. 100% fill rates and high eCPM rates enable publishers to make the most out of their ad space.Brands: Scalable Solutions for Multi-Channel CampaignsCopyright 2014, a2z, Inc. All rights reserved.",NA
http://www.ethoca.com,Canada,Ethoca,"Ethoca is the merchant-issuer collaboration standard. Together with our customers, we built the industry's only collaboration-based network that enables online merchants and card issuers to work together to stop fraud, eliminate chargebacks and accept more transactions. Ethoca closes the information gap between card issuers and merchants, making valuable cardholder insight and fraud intelligence securely available and actionable in real time. This unique capability delivers significant cost savings and revenue growth opportunities to the company’s global network of card issuer and merchant customers. To find out more, please visit www.ethoca.com. Copyright 2014, a2z, Inc. All rights reserved.","Toronto, ON"
http://www.ezanga.com,United States,"eZanga.com, Inc","We help brand your product, get your phone ringing, and increase your visibility, so that you can focus your time elsewhere.eZanga isn't your typical digital marketing agency. We've spent years tailoring our solutions to your needs, creating powerful and dynamic relationships with advertisers and publishers alike. We play in spaces the big three search engines leave behind. And we have fun doing it, too. See, we've been around a while (12 years to be exact), and that means a lot in this industry. But what does it mean for you? It means dedication to your brand, support for your campaigns, and a commitment to your success.Contact eZanga.com today for a better solution to your pay per click , pay per call, and dynamic fraud elimination (DFE) needs.www.ezanga.com | 888.439.2642 Brands: eZanga.com, AdPad, Traffic AdvisorsCopyright 2014, a2z, Inc. All rights reserved.","Middletown, DE"
http://www.fafscorp.com,United States,FAFS,"Copyright 2014, a2z, Inc. All rights reserved.","Odessa, FL"
http://www.fiksu.com,United States,Fiksu,"Fiksu is a data-fueled mobile marketing technology company that connects brands, agencies, and app advertisers to precise audiences throughout the customer journey. Fiksu’s mobile audience platform combines a massive, proprietary dataset with powerful segmentation tools to create, refresh, and reach audiences. Fiksu has led thousands of successful mobile campaigns to drive awareness, user acquisition, and re-engagement for clients such as Amazon, Disney, Groupon, Coca-Cola, Electronic Arts, The New York Times, Dunkin’ Donuts, and Starcom. Based in Boston, Mass., Fiksu is venture-backed by Qualcomm Ventures and Charles River Ventures. More at fiksu.com, @Fiksu, and on the Fiksu blog. Copyright 2014, a2z, Inc. All rights reserved.","Boston, MA"
http://firstimpression.io,Israel,FirstImpression,"Rake in untapped ad revenue with perfect ad placements created on the fly with no coding. The ProblemYour website is missing out on substantial revenue from advertising. Technical limitations with your CMS, website template, and development constraints are preventing you from serving the best ad placement in the right location for every page and user. The SolutionFirstImpression's solution will scan your website and detect untapped revenue opportunities in real time. It will maximize revenue from those opportunities by loading highly engaging new new ad units tailored for every scenario and end case. Zero coding or technical work is involved and you will benefit from a truly unique revenue stream. To view all ad placement types, visit http://firstimpression.io/demo/.Features & BenefitsContact uswww.firstimpression.ioRoy Peleg, CEO - Roy.Peleg@firstimpression.io - +1-650-799-0730 Michael Bassin, CRO - michael.bassin@firstimpression.io - +1-650-644-1327Brands: Create and monetize the perfect ad placements on the fly with no coding
Copyright 2014, a2z, Inc. All rights reserved.",NA
https://flixel.com/,Canada,Flixel Photos Inc.,"Founded in 2011, Flixel is an award-winning software develop with a suite of tools for photographers, videographers, and marketers to create “Living Photos” or “cinemagraphs” - a still image with moving elements. The company’s patent-pending technology allows ad makers  to easily create cinemagraphs on a Mac, iPhone and iPad. Our vision is to become the premier platform for discovering, creating and sharing cinemagraphs and other forms of micro-video content. Our company has worked with brands including A&E, Facebook, Instagram, Mercedes-Benz, Kraft, Lincoln, Netflix, Panasonic and 1000s of others. Investors include super-model Tyra Banks.Copyright 2014, a2z, Inc. All rights reserved.","Toronto, ON"
http://www.forensiq.com,United States,Forensiq,"Forensiq is the award winning global ad fraud detection solution for online marketers, proven to increase marketing ROI and maximize digital campaign efficiency. Forensiq allows advertisers, exchanges, and demand side organizations to optimize marketing budgets by detecting and eliminating fraudulent impressions, clicks, conversions, and cookie stuffing in real-time.Forensiq is the award winning global ad fraud detection solution for online marketers, proven to increase marketing ROI and maximize digital campaign efficiency. Forensiq allows advertisers, exchanges, and demand side organizations to optimize marketing budgets by detecting and eliminating fraudulent impressions, clicks, conversions, and cookie stuffing in real-time.Copyright 2014, a2z, Inc. All rights reserved.","New York, NY"
http://www.FosinaMarketing.com,United States,Fosina Marketing Group,"Founded in 2003 by client-side continuity marketing pioneers, Fosina Marketing is a digital direct response agency that helps leading consumer brands deploy online ad channels to acquire and retain quality consumers. Fosina offers a full suite of marketing services to direct marketing businesses big or small. Services include offer development, creative design, campaign management, web hosting services, proforma analysis, media planning and buying. The agency also delivers highly branded offers to affiliate marketing businesses worldwide. All offers are exclusives, pay competitive rates and maintain the highest level of industry compliance. Whether you are a direct marketing business or affiliate marketer Fosina is well suited to assist in your marketing or offer needs.Brands: Brands served Disney Book Club, Dr. Seuss Book Club, Elmo's Learning Adventure, Amora Coffee, EagleMoss and more.Copyright 2014, a2z, Inc. All rights reserved.","Danbury, CT"
http://www.konceptvr.com,United States,Freedom360 / Koncept VR,"Copyright 2014, a2z, Inc. All rights reserved.","Long Island City, NY"
http://www.gadmobe.com,Hong Kong,Gadmobe Interactive,"GadMobe is a leading mobile ad network in Asia-Pacific. Our seasoned team strives to revolutionize In-App advertising on mobile devices. Apart from conventional Banner, our self-service platform supports Mobile Video and Rich Media in over 190 countries. With our Micro-Optimization technology, Advertisers and Developers can maximize Campaign ROI and App eCPM effortlessly. Join us in the Pursuit of Mobile Advertising today!Brands: GadMobe strives to revolutionize In-App advertising. With our self-service 
platform, Advertisers and Developers can maximize Campaign ROI 
and App eCPM effortlessly.Copyright 2014, a2z, Inc. All rights reserved.","Hong Kong, China"
http://www.geoedge.com/,United States,GeoEdge,"GeoEdge is the premier provider of ad verification and transparency solutions for the online and mobile advertising ecosystem. The company ensures high ad quality and verifies that sites and apps offer a clean, safe, and engaging user experience. GeoEdge guards against non-compliance, malware, inappropriate content, data leakage, operational, and performance issues.Leading publishers, ad platforms, exchanges, and networks rely on GeoEdge’s automated ad verification solutions to monitor and protect their ad inventory. To find out how GeoEdge can enhance your quality assurance and verify your online and mobile campaigns, head to www.geoedge.com. Copyright 2014, a2z, Inc. All rights reserved.","Providence, RI"
http://getresponse.com,Poland,GETRESPONSE,"GetResponse. The world's easiest email marketing.A recent winner of 3 Stevie Awards, as well as an Inc5000 company, GetResponse is a leading email marketing platform featuring advanced email solutions, user-friendly interface and expert support. It is used and appreciated by more than 350,000 customers, worldwide. 
The portfolio of features includes: email automation, responsive email design, autoresponders and trigger emails, landing page creator, form builder, 1000+ free iStockphotos, surveys, social media integrations, and more - to help you easily create, manage, share, track and integrate multichannel campaigns from one account.GetResponse is a perfect and affordable solution offering big company email technologies to SMBs.www.getresponse.com    Brands: GetResponse Enterprise is a dedicated version for enterprises and high-volume marketers.
For a customized quote please visit: www.getresponse.com/enterpriseCopyright 2014, a2z, Inc. All rights reserved.",NA
http://www.go2mobi.com,Canada,Go2mobi,"Go2mobi - Mobile Real-Time Bidding Advertising PlatformGo2mobi is the preferred mobile advertising platform for performance marketers around the world. We offer the most granular targeting/reporting/optimization suite in the industry. Target any combination of parameters, then drill into the reports to find the data points that drove the most success for your campaign. Blacklist the site/carrier/device combos that didn't produce profit and whitelist the combos that drove the most GP for you. Go2mobi's commitment to customer service and innovation is without rival among mobile traffic platforms. Come test us out!Brands: Expedia, King.com, BMW, Amazon, Cupid, Spotify.Copyright 2014, a2z, Inc. All rights reserved.","Victoria, BC"
http://www.gooddata.com,United States,"GoodData, Inc"," ABOUT GOODDATAGoodData® provides groundbreaking BI for data monetization to enterprises, independent software vendors, and system integrators who seek to quickly create and distribute valuable information to large networks of customers and partners. Our real-time analytics distribution platform is highly scalable and secure - allowing companies like Target, Discovery International and Zendesk to deploy engaging data products that are guided by GoodData’s expertise in delivering widely-adopted analytics solutions.GoodData is headquartered in San Francisco and is backed by Andreessen Horowitz, General Catalyst Partners, Intel Capital, TOTVS and others. For more information, read our blog, visit our website and follow GoodData on Twitter and LinkedIn.©2015, GoodData Corporation. All rights reserved. GoodData is a registered trademark of GoodData Corporation in the United States and other jurisdictions. Other names used herein may be trademarks of their respective owners.Brands: GoodData works with over 40,000 companies, such as Time Warner Cable, Nestlé, Comcast, Target, Redbubble, Costco Wholesale, Chole and Isabel, Kimberly-Clark, Walgreens and Zendesk.Copyright 2014, a2z, Inc. All rights reserved.","San Francisco, CA"
http://www.grantthornton.com,United States,Grant Thornton,"Copyright 2014, a2z, Inc. All rights reserved.","Raleigh, NC"
http://www.growmobile.com/,Israel,Growmobile,"Growmobile, the mobile marketing division of Perion, was created to address the ever-evolving marketing needs of mobile-first companies. Our complete suite of solutions enable app marketers to acquire users from more than 100 traffic sources including Google, Facebook and Twitter, and increase spend, reduce churn and improve retention through engagement campaigns. We organize the universe of mobile marketing by giving businesses all the tools they need in one place to meet and exceed their marketing goals.
Visit our website to explore our solutions: www.growmobile.com Copyright 2014, a2z, Inc. All rights reserved.",NA
http://www.gshiftlabs.com,Canada,gShift," Brands utilize gShift’s software & service programs to develop strategy, deploy smart content, and gauge performance across the web for their target market.      Digital agencies depend on gShift to inform their client strategies across search and social, analyze content performance & deliver complete detailed reports.  Copyright 2014, a2z, Inc. All rights reserved.","Barrie, ON"
http://www.gummicube.com,United States,Gummicube,"Gummicube, Inc. is the leading provider of software, data and services for organic mobile marketing.  Our products include DATACUBE® App Store Intelligence software, DATACUBE A/B® programmatic multivariate testing software and Gnome Escape® the leading community providing live survey and panel based user feedback for apps.  Founded in 2011 by mobile veterans, Gummicube is based in San Jose, CA and serves thousands of developers, marketing agencies and Fortune 500 enterprise clients with its industry leading software and services.Copyright 2014, a2z, Inc. All rights reserved.","San Jose, CA"
http://www.gunggo.com,Canada,Gunggo,"Gunggo Co Ltd is a global Digital Advertising Network that connect the right audience to the most effective advertisement. With our experienced and passionate Ad Team, we are able to deliver high ROI campaign to advertisers by customizing a campaign cater to their marketing needs to find and engage the target audience. Gunggo strives to maximize publishers advertising revenue and deliver the best performance campaigns to advertisers according to their advertising budget. Get connected with GungGo today to discuss your marketing strategy and ad formats that we support.Copyright 2014, a2z, Inc. All rights reserved.","MARKHAM, ON"
http://www.hiro-media.com,Israel,HIRO MEDIA,"HIRO is the leading independent online video content SSP that has perfected the programmatic video-distribution platform for content owners. Through innovative technology HIRO's unique concept of ""Casual Viewership"" leverages a network of over 50,000 sites to search for and satisfy the diverse, niche viewing-needs of audiences across the web, and reach broadcast-like volumes.Copyright 2014, a2z, Inc. All rights reserved.",NA
http://na.ad-tech.com/ny/thank-you-for-contacting-adtech/,United States,Humboldt Merchant Services," For two decades, Humboldt Merchant Services has been a leader in the payment processing industry. Offering superior credit card processing and innovative payment acceptance solutions, our industry knowledgeable representatives work directly with merchants to provide customized solutions to fit their business needs.Humboldt offers affordable wholesale pricing, effortless integration with the majority of gateways supporting ecommerce businesses as well and onsite swipe options, daily chargeback reporting, processing for U.S. and Canadian businesses, in-house risk & underwriting and multi-currency conversion.Copyright 2014, a2z, Inc. All rights reserved.","Cutten, CA"
http://www.hypertvx.com,United States,HyperTV,"HyperTV is a cloud hosted platform used by TV content creators, ad agencies and brands to deliver hyper-relevant content to their audiences on all devices and in every type of media.HyperTV turns competing screens into cooperating mediums by delivering highly customized and contextually aware experiences that incentivize interaction with via a proprietary gamification technology. Our platform substantially increases audience engagement and interaction, fostering direct communication between consumers and brands. Each user experience can be customized and personalized based on location, demographic profile, or even the TV show the user is currently watching. The company was founded in Rome in 2011. In 2012, we opened our second office in New York. We've worked with a wide range of global clients from Mediaset, Al Jazeera America, X Factor, Sky and Fox Italia. We've made apps for everything from sporting events to game shows to commercials to news hours.Copyright 2014, a2z, Inc. All rights reserved.","New York, NY"
http://www.ibm.com/surfaid,United States,IBM,"Copyright 2014, a2z, Inc. All rights reserved.","Alpharetta, GA"
http://www.ideally.com,United States,Ideally,"Ideally is a social commerce marketplace with an iOS mobile app for consumers and a web-based analytics platform for brands.Consumers collect the products/brands they love and choose the sale price they want to pay in a new shopping experience centered around convenience and value.  So instead of hunting for deals and missing out on ""limited time only"" sale notifications, instead of waiting for flash sale sites and group buying sites to have the products/brands the consumer actually cares about, Ideally enables consumers to simply make offers.Brands can access the self-serve analytics platform, and visualize consumer offers aggregated into interactive demand curves with ""Sell Now"" buttons.  This new sales channel empowers brands marketers and agencies to instantly transact at revenue/quantity/price targets that are compelling to them.  The consumer insights can also help shape promotional pricing strategies for the brands' stores (online and offline), so for example instead of arbitrarily deciding to offer 20% off for a promo, the brand can understand consumer demand inflection points and price accordingly.  Lastly, rich demographics data are visually presented to understand age/gender/education/location implications.Copyright 2014, a2z, Inc. All rights reserved.","San Francisco, CA"
http://www.idearocketanimation.com,United States,IdeaRocket,"Copyright 2014, a2z, Inc. All rights reserved.","New York, NY"
http://imonomy.com,Israel,imonomy interactive Limited,"imonomy is an innovative, in-image advertising technology partner that helps you, as the publisher, increase your advertising revenue by automatically placing relevant ads on the most captivating elements on your websites, your images. Our Visual Semantic Engine analyzes and understands website content and programmatically pairs appropriate ads from our vast and varied inventory with that content.Our ad products are designed to unobtrusively close the gap between your potential customers and what they are looking for. We offer ads in various formats which expand brand awareness; speed up the sales process and introduce customers to your other products and services which they may be interested in.We will work with you to develop a customized and thoughtful strategy for your website to increase your advertising revenue using our engaging advertising products which can co-exist with other advertising products. Benefits to you could include higher conversion rates through more meaningful engagements with potential and existing customers.Copyright 2014, a2z, Inc. All rights reserved.",NA
infusionsoft.com,United States,InfusionSoft,"Copyright 2014, a2z, Inc. All rights reserved.","Chandler, AZ"
http://www.pacificnaturals.com,United States,Insureship,"Copyright 2014, a2z, Inc. All rights reserved.","Burbank, CA"
http://inappad.com,United States,IQM,"Copyright 2014, a2z, Inc. All rights reserved.","New York, NY"
http://www.iriworldwide.com/,United States,IRI,"IRI is a leading provider of big data, predictive analytics and forward-looking insights that help CPG, OTC healthcare, retailers and media companies to grow.  With the largest repository of purchase, media, social, causal and loyalty data, all integrated on an on-demand cloud-based technology platform, IRI guides over 5,000 clients globally in their quests to remain relentlessly relevant, capture market share, connect with consumers and deliver growth. www.IRIworldwide.com.Copyright 2014, a2z, Inc. All rights reserved.","Chicago, IL"
NA,United States,Israel Economic Mission,"Copyright 2014, a2z, Inc. All rights reserved.","New York, NY"
http://www.kidoz.net,Israel,KIDOZ LTD,"

KIDOZ - The Biggest Marketing Platform for Kids Content Our COPPA-Compliant machine learning algorithm will recommend your content to the most relevant audiences, based on each kid’s age, location and personal interest.
Exclusive Distribution Channels
Our KIDOZ Mode Solution is preloaded by tier 1 device manufacturers and carriers, as their exclusive kids' interface, including Acer Kids Center, Kurio Kids Tablet, Sprout TV tablet, Deutsche Telekom Family Devices, HiSense Smart TVs, Lenco, US Cellular and many others.Our KIDOZ In-App Recommendation Widget lets you reach kids via hundreds of top kids' applications, by offering your content when they are ready to try something new.
Contact us to learn how KIDOZ can work for your brand
About KIDOZ Ltd.
Founded in 2009, KIDOZ is empowering the digital life of millions of kids by turning Smartphones, Tablets into safe and entertaining environments for kids. KIDOZ comes pre-loaded with the latest kids’ apps, videos and online content delivered directly to children, making KIDOZ state-of-the-art platform the one-stop solution for families and kids.Copyright 2014, a2z, Inc. All rights reserved.",NA
http://www.latinpak.com,United States,Latin-Pak,"Copyright 2014, a2z, Inc. All rights reserved.","Chesterfield, MO"
http://www.leaseweb.com,United States,LeaseWeb,"LeaseWeb is one of the world’s largest Infrastructure as a Service (IaaS) providers, serving a worldwide portfolio of 17,000 customers ranging from SMBs to enterprises. Services include Public Cloud, Private Cloud, CDN (Content Delivery Network), Hybrid Hosting, Colocation, Virtual Servers, and Dedicated Hosting with 24/7 support. With more than 60,000 servers under management, LeaseWeb provides infrastructure for mission-critical websites, Internet applications, e-mail servers, security, and storage services since 1997. The company operates 10 data centers in the U.S. and Europe, all of which are backed by a large global network with a total capacity of more than 5.0 Tbps. LeaseWeb offers services through its various subsidiaries, being LeaseWeb Netherlands B.V. (“LeaseWeb Netherlands”), LeaseWeb USA, Inc. (“LeaseWeb USA”), and LeaseWeb Deutschland GmbH (“LeaseWeb Germany”). CDN services are provided through LeaseWeb CDN B.V. For more information, visit www.leaseweb.comCopyright 2014, a2z, Inc. All rights reserved.","Manassas, VA"
http://logbar.jp,United States,Logbar,"Logbar develops a ring-shaped wearable input device. The device functions as a controller for smart home solutions, VR systems, presentation software, smartphones, and various IoT gadgets.Brands: Ring ZEROCopyright 2014, a2z, Inc. All rights reserved.","San Francisco, CA"
